ID,Name,Description,"Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global"
30348,"22 Gallon Explosion-proof Cabinet YR05468 // YR05468-2","<ul>\n 	<li>Environmental protection spray, strong insulation</li>\n 	<li>Three-point linkage, double lock</li>\n 	<li>Strong load-bearing, adjustable laminate</li>\n 	<li>Electrostatic grounding, safety upgrade</li>\n 	<li>Three colors, each with its own strengths</li>\n</ul>\n<h6>Features</h6>\n<ul>\n 	<li>Double lock safe and reliable: Two locks, two managers. Double security, pad lock and cabinet lock, stardarized management, improve safety factor</li>\n</ul>\n<img class=""alignnone size-full wp-image-30362"" src=""https://kalstein.net/en/wp-content/uploads/2022/06/1-double-lock-safe-and-reliable-1.png"" alt="""" width=""395"" height=""313"" />\n<ul>\n 	<li>Three point linkage solid lock post: Three point linkage cabinet door lock tongue locking structure, upper, middle and lower three-point linkage solide core lock colums to increase the security of the cabinet</li>\n</ul>\n<img class=""alignnone size-full wp-image-30350"" src=""https://kalstein.net/en/wp-content/uploads/2022/06/2-three-point-linkage-solid-lock-post.png"" alt="""" width=""352"" height=""277"" />\n<ul>\n 	<li>Adjustable fire vent: The fire vents on both sides of the cabinet body are equipped with adjustable valves, which can rotate to control the air volume and reduce the risk of harmful gas accumulation in the cabinet</li>\n</ul>\n<img class=""alignnone size-full wp-image-30351"" src=""https://kalstein.net/en/wp-content/uploads/2022/06/3-adjustable-fire-vent.png"" alt="""" width=""395"" height=""307"" />\n<ul>\n 	<li>Liquid leak proof galvanized shelves: 4-110 gallons, regardless of size, the shelves are designed with leaked liquid guide groove, which is not afraid of leakage. The laminate can be adjusted up and down according to demand</li>\n</ul>\n<img class=""alignnone size-full wp-image-30352"" src=""https://kalstein.net/en/wp-content/uploads/2022/06/4-liquid-leak-proof-galvanized.png"" alt="""" width=""395"" height=""316"" />\n<ul>\n 	<li>Anti-static: each model is equipped with OSHA standar electrostatic prevention wire clip. Ensure safe use and management</li>\n</ul>\n<img class=""alignnone size-full wp-image-30353"" src=""https://kalstein.net/en/wp-content/uploads/2022/06/5-anti-static.png"" alt="""" width=""395"" height=""310"" />\n<table width=""635"">\n<tbody>\n<tr>\n<td width=""87""><strong>Model</strong></td>\n<td width=""195""><strong>YR05468</strong></td>\n<td width=""164""><strong>YR05468-1</strong></td>\n<td width=""189"">YR05468-2</td>\n</tr>\n<tr>\n<td width=""87""><strong>Dimensions</strong>\n<strong>(H x W x D)</strong></td>\n<td colspan=""3"">1 650 x 590 x 460</td>\n</tr>\n<tr>\n<td><strong>Weight (Kg)</strong></td>\n<td colspan=""3"">85</td>\n</tr>\n<tr>\n<td><strong>Volume</strong></td>\n<td colspan=""3"">22 GAL / 83 GAL</td>\n</tr>\n<tr>\n<td><strong>Door Type</strong></td>\n<td colspan=""3"">Single door / Manual</td>\n</tr>\n<tr>\n<td><strong>Description</strong></td>\n<td>Yellow for Flammable Liquids</td>\n<td>Red for Combustible liquids</td>\n<td>Blue for Corrosive liquids</td>\n</tr>\n<tr>\n<td><strong>Adjustable shelf</strong></td>\n<td colspan=""3"">3 Layer</td>\n</tr>\n</tbody>\n</table>",Model,"YR05468, YR05468-1, YR05468-2",1,1
30363,"30 Gallon Explosion-proof Cabinet YR05469 // YR05469-2","<ul>\n 	<li>Environmental protection spray, strong insulation</li>\n 	<li>Three-point linkage, double lock</li>\n 	<li>Strong load-bearing, adjustable laminate</li>\n 	<li>Electrostatic grounding, safety upgrade</li>\n 	<li>Three colors, each with its own strengths</li>\n</ul>\n<h6>Features</h6>\n<ul>\n 	<li>Double lock safe and reliable: Two locks, two managers. Double security, pad lock and cabinet lock, stardarized management, improve safety factor</li>\n</ul>\n<img class=""alignnone size-full wp-image-30362"" src=""https://kalstein.net/en/wp-content/uploads/2022/06/1-double-lock-safe-and-reliable-1.png"" alt="""" width=""395"" height=""313"" />\n<ul>\n 	<li>Three point linkage solid lock post: Three point linkage cabinet door lock tongue locking structure, upper, middle and lower three-point linkage solide core lock colums to increase the security of the cabinet</li>\n</ul>\n<img class=""alignnone size-full wp-image-30350"" src=""https://kalstein.net/en/wp-content/uploads/2022/06/2-three-point-linkage-solid-lock-post.png"" alt="""" width=""352"" height=""277"" />\n<ul>\n 	<li>Adjustable fire vent: The fire vents on both sides of the cabinet body are equipped with adjustable valves, which can rotate to control the air volume and reduce the risk of harmful gas accumulation in the cabinet</li>\n</ul>\n<img class=""alignnone size-full wp-image-30351"" src=""https://kalstein.net/en/wp-content/uploads/2022/06/3-adjustable-fire-vent.png"" alt="""" width=""395"" height=""307"" />\n<ul>\n 	<li>Liquid leak proof galvanized shelves: 4-110 gallons, regardless of size, the shelves are designed with leaked liquid guide groove, which is not afraid of leakage. The laminate can be adjusted up and down according to demand</li>\n</ul>\n<img class=""alignnone size-full wp-image-30352"" src=""https://kalstein.net/en/wp-content/uploads/2022/06/4-liquid-leak-proof-galvanized.png"" alt="""" width=""395"" height=""316"" />\n<ul>\n 	<li>Anti-static: each model is equipped with OSHA standar electrostatic prevention wire clip. Ensure safe use and management</li>\n</ul>\n<img class=""alignnone size-full wp-image-30353"" src=""https://kalstein.net/en/wp-content/uploads/2022/06/5-anti-static.png"" alt="""" width=""395"" height=""310"" />\n<table width=""635"">\n<tbody>\n<tr>\n<td width=""87""><strong>Model</strong></td>\n<td width=""195""><strong>YR05469</strong></td>\n<td width=""164""><strong>YR05469-1</strong></td>\n<td width=""189""><strong>YR05469-2</strong></td>\n</tr>\n<tr>\n<td width=""87""><strong>Dimensions</strong>\n<strong>(H x W x D)</strong></td>\n<td colspan=""3"">1 118 x 1 090 x 460</td>\n</tr>\n<tr>\n<td><strong>Weight (Kg)</strong></td>\n<td colspan=""3"">90</td>\n</tr>\n<tr>\n<td><strong>Volume</strong></td>\n<td colspan=""3"">30 GAL / 114 GAL</td>\n</tr>\n<tr>\n<td><strong>Door Type</strong></td>\n<td colspan=""3"">Double door / Manual</td>\n</tr>\n<tr>\n<td><strong>Description</strong></td>\n<td>Yellow for Flammable Liquids</td>\n<td>Red for Combustible liquids</td>\n<td>Blue for Corrosive liquids</td>\n</tr>\n<tr>\n<td><strong>Adjustable shelf</strong></td>\n<td colspan=""3"">1 Layer</td>\n</tr>\n</tbody>\n</table>",Model,"YR05469, YR05469-1, YR05469-2",1,1
30364,"45 Gallon Explosion-proof Cabinet YR05470 // YR05470-2","<ul>\n 	<li>Environmental protection spray, strong insulation</li>\n 	<li>Three-point linkage, double lock</li>\n 	<li>Strong load-bearing, adjustable laminate</li>\n 	<li>Electrostatic grounding, safety upgrade</li>\n 	<li>Three colors, each with its own strengths</li>\n</ul>\n<h6>Features</h6>\n<ul>\n 	<li>Double lock safe and reliable: Two locks, two managers. Double security, pad lock and cabinet lock, stardarized management, improve safety factor</li>\n</ul>\n<img class=""alignnone size-full wp-image-30362"" src=""https://kalstein.net/en/wp-content/uploads/2022/06/1-double-lock-safe-and-reliable-1.png"" alt="""" width=""395"" height=""313"" />\n<ul>\n 	<li>Three point linkage solid lock post: Three point linkage cabinet door lock tongue locking structure, upper, middle and lower three-point linkage solide core lock colums to increase the security of the cabinet</li>\n</ul>\n<img class=""alignnone size-full wp-image-30350"" src=""https://kalstein.net/en/wp-content/uploads/2022/06/2-three-point-linkage-solid-lock-post.png"" alt="""" width=""352"" height=""277"" />\n<ul>\n 	<li>Adjustable fire vent: The fire vents on both sides of the cabinet body are equipped with adjustable valves, which can rotate to control the air volume and reduce the risk of harmful gas accumulation in the cabinet</li>\n</ul>\n<img class=""alignnone size-full wp-image-30351"" src=""https://kalstein.net/en/wp-content/uploads/2022/06/3-adjustable-fire-vent.png"" alt="""" width=""395"" height=""307"" />\n<ul>\n 	<li>Liquid leak proof galvanized shelves: 4-110 gallons, regardless of size, the shelves are designed with leaked liquid guide groove, which is not afraid of leakage. The laminate can be adjusted up and down according to demand</li>\n</ul>\n<img class=""alignnone size-full wp-image-30352"" src=""https://kalstein.net/en/wp-content/uploads/2022/06/4-liquid-leak-proof-galvanized.png"" alt="""" width=""395"" height=""316"" />\n<ul>\n 	<li>Anti-static: each model is equipped with OSHA standar electrostatic prevention wire clip. Ensure safe use and management</li>\n</ul>\n<img class=""alignnone size-full wp-image-30353"" src=""https://kalstein.net/en/wp-content/uploads/2022/06/5-anti-static.png"" alt="""" width=""395"" height=""310"" />\n<table width=""635"">\n<tbody>\n<tr>\n<td width=""87""><strong>Model</strong></td>\n<td width=""195""><strong>YR05470</strong></td>\n<td width=""164""><strong>YR05470-1</strong></td>\n<td width=""189""><strong>YR05470-2</strong></td>\n</tr>\n<tr>\n<td width=""87""><strong>Dimensions</strong>\n<strong>(H x W x D)</strong></td>\n<td colspan=""3"">1 650 x 1 090 x 460</td>\n</tr>\n<tr>\n<td><strong>Weight (Kg)</strong></td>\n<td colspan=""3"">110</td>\n</tr>\n<tr>\n<td><strong>Volume</strong></td>\n<td colspan=""3"">45 GAL / 170 GAL</td>\n</tr>\n<tr>\n<td><strong>Door Type</strong></td>\n<td colspan=""3"">Double door / Manual</td>\n</tr>\n<tr>\n<td><strong>Description</strong></td>\n<td>Yellow for Flammable Liquids</td>\n<td>Red for Combustible liquids</td>\n<td>Blue for Corrosive liquids</td>\n</tr>\n<tr>\n<td><strong>Adjustable shelf</strong></td>\n<td colspan=""3"">2 Layer</td>\n</tr>\n</tbody>\n</table>",Model,"YR053400, YR053400-1, YR053400-2",1,1
30403,"60 Gallon Explosion-proof Cabinet YR05471 // YR05471-2","<ul>\n 	<li>Environmental protection spray, strong insulation</li>\n 	<li>Three-point linkage, double lock</li>\n 	<li>Strong load-bearing, adjustable laminate</li>\n 	<li>Electrostatic grounding, safety upgrade</li>\n 	<li>Three colors, each with its own strengths</li>\n</ul>\n<h6>Features</h6>\n<ul>\n 	<li>Double lock safe and reliable: Two locks, two managers. Double security, pad lock and cabinet lock, stardarized management, improve safety factor</li>\n</ul>\n<img class=""alignnone size-full wp-image-30362"" src=""https://kalstein.net/en/wp-content/uploads/2022/06/1-double-lock-safe-and-reliable-1.png"" alt="""" width=""395"" height=""313"" />\n<ul>\n 	<li>Three point linkage solid lock post: Three point linkage cabinet door lock tongue locking structure, upper, middle and lower three-point linkage solide core lock colums to increase the security of the cabinet</li>\n</ul>\n<img class=""alignnone size-full wp-image-30350"" src=""https://kalstein.net/en/wp-content/uploads/2022/06/2-three-point-linkage-solid-lock-post.png"" alt="""" width=""352"" height=""277"" />\n<ul>\n 	<li>Adjustable fire vent: The fire vents on both sides of the cabinet body are equipped with adjustable valves, which can rotate to control the air volume and reduce the risk of harmful gas accumulation in the cabinet</li>\n</ul>\n<img class=""alignnone size-full wp-image-30351"" src=""https://kalstein.net/en/wp-content/uploads/2022/06/3-adjustable-fire-vent.png"" alt="""" width=""395"" height=""307"" />\n<ul>\n 	<li>Liquid leak proof galvanized shelves: 4-110 gallons, regardless of size, the shelves are designed with leaked liquid guide groove, which is not afraid of leakage. The laminate can be adjusted up and down according to demand</li>\n</ul>\n<img class=""alignnone size-full wp-image-30352"" src=""https://kalstein.net/en/wp-content/uploads/2022/06/4-liquid-leak-proof-galvanized.png"" alt="""" width=""395"" height=""316"" />\n<ul>\n 	<li>Anti-static: each model is equipped with OSHA standar electrostatic prevention wire clip. Ensure safe use and management</li>\n</ul>\n<img class=""alignnone size-full wp-image-30353"" src=""https://kalstein.net/en/wp-content/uploads/2022/06/5-anti-static.png"" alt="""" width=""395"" height=""310"" />\n<table width=""635"">\n<tbody>\n<tr>\n<td width=""87""><strong>Model</strong></td>\n<td width=""195""><strong>YR05471</strong></td>\n<td width=""164""><strong>YR05471-1</strong></td>\n<td width=""189""><strong>YR05471-2</strong></td>\n</tr>\n<tr>\n<td width=""87""><strong>Dimensions</strong>\n<strong>(H x W x D)</strong></td>\n<td colspan=""3"">1 650 x 1 865 x 865</td>\n</tr>\n<tr>\n<td><strong>Weight (Kg)</strong></td>\n<td colspan=""3"">145</td>\n</tr>\n<tr>\n<td><strong>Volume</strong></td>\n<td colspan=""3"">60 GAL / 227 GAL</td>\n</tr>\n<tr>\n<td><strong>Door Type</strong></td>\n<td colspan=""3"">Double door / Manual</td>\n</tr>\n<tr>\n<td><strong>Description</strong></td>\n<td>Yellow for Flammable Liquids</td>\n<td>Red for Combustible liquids</td>\n<td>Blue for Corrosive liquids</td>\n</tr>\n<tr>\n<td><strong>Adjustable shelf</strong></td>\n<td colspan=""3"">2 Layer</td>\n</tr>\n</tbody>\n</table>",Model,"YR05471, YR05471-1, YR05471-2",1,1
30408,"90 Gallon Explosion-proof Cabinet YR05472 // YR05472-2","<ul>\n 	<li>Environmental protection spray, strong insulation</li>\n 	<li>Three-point linkage, double lock</li>\n 	<li>Strong load-bearing, adjustable laminate</li>\n 	<li>Electrostatic grounding, safety upgrade</li>\n 	<li>Three colors, each with its own strengths</li>\n</ul>\n<h6>Features</h6>\n<ul>\n 	<li>Double lock safe and reliable: Two locks, two managers. Double security, pad lock and cabinet lock, stardarized management, improve safety factor</li>\n</ul>\n<img class=""alignnone size-full wp-image-30362"" src=""https://kalstein.net/en/wp-content/uploads/2022/06/1-double-lock-safe-and-reliable-1.png"" alt="""" width=""395"" height=""313"" />\n<ul>\n 	<li>Three point linkage solid lock post: Three point linkage cabinet door lock tongue locking structure, upper, middle and lower three-point linkage solide core lock colums to increase the security of the cabinet</li>\n</ul>\n<img class=""alignnone size-full wp-image-30350"" src=""https://kalstein.net/en/wp-content/uploads/2022/06/2-three-point-linkage-solid-lock-post.png"" alt="""" width=""352"" height=""277"" />\n<ul>\n 	<li>Adjustable fire vent: The fire vents on both sides of the cabinet body are equipped with adjustable valves, which can rotate to control the air volume and reduce the risk of harmful gas accumulation in the cabinet</li>\n</ul>\n<img class=""alignnone size-full wp-image-30351"" src=""https://kalstein.net/en/wp-content/uploads/2022/06/3-adjustable-fire-vent.png"" alt="""" width=""395"" height=""307"" />\n<ul>\n 	<li>Liquid leak proof galvanized shelves: 4-110 gallons, regardless of size, the shelves are designed with leaked liquid guide groove, which is not afraid of leakage. The laminate can be adjusted up and down according to demand</li>\n</ul>\n<img class=""alignnone size-full wp-image-30352"" src=""https://kalstein.net/en/wp-content/uploads/2022/06/4-liquid-leak-proof-galvanized.png"" alt="""" width=""395"" height=""316"" />\n<ul>\n 	<li>Anti-static: each model is equipped with OSHA standar electrostatic prevention wire clip. Ensure safe use and management</li>\n</ul>\n<img class=""alignnone size-full wp-image-30353"" src=""https://kalstein.net/en/wp-content/uploads/2022/06/5-anti-static.png"" alt="""" width=""395"" height=""310"" />\n<table width=""635"">\n<tbody>\n<tr>\n<td width=""87""><strong>Model</strong></td>\n<td width=""195""><strong>YR05472</strong></td>\n<td width=""164""><strong>YR05472-1</strong></td>\n<td width=""189""><strong>YR05472-2</strong></td>\n</tr>\n<tr>\n<td width=""87""><strong>Dimensions</strong>\n<strong>(H x W x D)</strong></td>\n<td colspan=""3"">1 650 x 1 090 x 865</td>\n</tr>\n<tr>\n<td><strong>Weight (Kg)</strong></td>\n<td colspan=""3"">165</td>\n</tr>\n<tr>\n<td><strong>Volume</strong></td>\n<td colspan=""3"">90 GAL / 340 GAL</td>\n</tr>\n<tr>\n<td><strong>Door Type</strong></td>\n<td colspan=""3"">Double door / Manual</td>\n</tr>\n<tr>\n<td><strong>Description</strong></td>\n<td>Yellow for Flammable Liquids</td>\n<td>Red for Combustible liquids</td>\n<td>Blue for Corrosive liquids</td>\n</tr>\n<tr>\n<td><strong>Adjustable shelf</strong></td>\n<td colspan=""3"">2 Layer</td>\n</tr>\n</tbody>\n</table>",Model,"YR05472, YR05472-1, YR05472-2",1,1
30416,"416 Gallon Explosion-proof Cabinet YR05473 // YR05473-2","<ul>\n 	<li>Environmental protection spray, strong insulation</li>\n 	<li>Three-point linkage, double lock</li>\n 	<li>Strong load-bearing, adjustable laminate</li>\n 	<li>Electrostatic grounding, safety upgrade</li>\n 	<li>Three colors, each with its own strengths</li>\n</ul>\n<h6>Features</h6>\n<ul>\n 	<li>Double lock safe and reliable: Two locks, two managers. Double security, pad lock and cabinet lock, stardarized management, improve safety factor</li>\n</ul>\n<img class=""alignnone size-full wp-image-30362"" src=""https://kalstein.net/en/wp-content/uploads/2022/06/1-double-lock-safe-and-reliable-1.png"" alt="""" width=""395"" height=""313"" />\n<ul>\n 	<li>Three point linkage solid lock post: Three point linkage cabinet door lock tongue locking structure, upper, middle and lower three-point linkage solide core lock colums to increase the security of the cabinet</li>\n</ul>\n<img class=""alignnone size-full wp-image-30350"" src=""https://kalstein.net/en/wp-content/uploads/2022/06/2-three-point-linkage-solid-lock-post.png"" alt="""" width=""352"" height=""277"" />\n<ul>\n 	<li>Adjustable fire vent: The fire vents on both sides of the cabinet body are equipped with adjustable valves, which can rotate to control the air volume and reduce the risk of harmful gas accumulation in the cabinet</li>\n</ul>\n<img class=""alignnone size-full wp-image-30351"" src=""https://kalstein.net/en/wp-content/uploads/2022/06/3-adjustable-fire-vent.png"" alt="""" width=""395"" height=""307"" />\n<ul>\n 	<li>Liquid leak proof galvanized shelves: 4-110 gallons, regardless of size, the shelves are designed with leaked liquid guide groove, which is not afraid of leakage. The laminate can be adjusted up and down according to demand</li>\n</ul>\n<img class=""alignnone size-full wp-image-30352"" src=""https://kalstein.net/en/wp-content/uploads/2022/06/4-liquid-leak-proof-galvanized.png"" alt="""" width=""395"" height=""316"" />\n<ul>\n 	<li>Anti-static: each model is equipped with OSHA standar electrostatic prevention wire clip. Ensure safe use and management</li>\n</ul>\n<img class=""alignnone size-full wp-image-30353"" src=""https://kalstein.net/en/wp-content/uploads/2022/06/5-anti-static.png"" alt="""" width=""395"" height=""310"" />\n<h6>Technical Specification</h6>\n<table width=""635"">\n<tbody>\n<tr>\n<td width=""87""><strong>Model</strong></td>\n<td width=""195""><strong>YR05473</strong></td>\n<td width=""164""><strong>YR05473-1</strong></td>\n<td width=""189""><strong>YR05473-2</strong></td>\n</tr>\n<tr>\n<td width=""87""><strong>Dimensions</strong>\n<strong>(H x W x D)</strong></td>\n<td colspan=""3"">1 650 x 1 500 x 865</td>\n</tr>\n<tr>\n<td><strong>Weight (Kg)</strong></td>\n<td colspan=""3"">220</td>\n</tr>\n<tr>\n<td><strong>Volume</strong></td>\n<td colspan=""3"">110 GAL / 416 GAL</td>\n</tr>\n<tr>\n<td><strong>Door Type</strong></td>\n<td colspan=""3"">Double door / Manual</td>\n</tr>\n<tr>\n<td><strong>Description</strong></td>\n<td>Yellow for Flammable Liquids</td>\n<td>Red for Combustible liquids</td>\n<td>Blue for Corrosive liquids</td>\n</tr>\n<tr>\n<td><strong>Adjustable shelf</strong></td>\n<td colspan=""3"">2 Layer</td>\n</tr>\n</tbody>\n</table>",Model,"YR05473, YR05473-1, YR05473-2",1,1
34665,"2-4 Gallon Explosion-proof Cabinet   YR05464 // YR05465","<ul>\n 	<li>Environmental protection spray, strong insulation</li>\n 	<li>Three-point linkage, double lock</li>\n 	<li>Strong load-bearing, adjustable laminate</li>\n 	<li>Electrostatic grounding, safety upgrade</li>\n 	<li>Three colors, each with its own strengths</li>\n</ul>\n<h6>Features</h6>\n<ul>\n 	<li>Double lock safe and reliable: Two locks, two managers. Double security, pad lock and cabinet lock, stardarized management, improve safety factor</li>\n</ul>\n<img class=""alignnone size-full wp-image-30362"" src=""https://kalstein.net/en/wp-content/uploads/2022/06/1-double-lock-safe-and-reliable-1.png"" alt="""" width=""395"" height=""313"" />\n<ul>\n 	<li>Three point linkage solid lock post: Three point linkage cabinet door lock tongue locking structure, upper, middle and lower three-point linkage solide core lock colums to increase the security of the cabinet</li>\n</ul>\n<img class=""alignnone size-full wp-image-30350"" src=""https://kalstein.net/en/wp-content/uploads/2022/06/2-three-point-linkage-solid-lock-post.png"" alt="""" width=""352"" height=""277"" />\n<ul>\n 	<li>Adjustable fire vent: The fire vents on both sides of the cabinet body are equipped with adjustable valves, which can rotate to control the air volume and reduce the risk of harmful gas accumulation in the cabinet</li>\n</ul>\n<img class=""alignnone size-full wp-image-30351"" src=""https://kalstein.net/en/wp-content/uploads/2022/06/3-adjustable-fire-vent.png"" alt="""" width=""395"" height=""307"" />\n<ul>\n 	<li>Liquid leak proof galvanized shelves: 4-110 gallons, regardless of size, the shelves are designed with leaked liquid guide groove, which is not afraid of leakage. The laminate can be adjusted up and down according to demand</li>\n</ul>\n<img class=""alignnone size-full wp-image-30352"" src=""https://kalstein.net/en/wp-content/uploads/2022/06/4-liquid-leak-proof-galvanized.png"" alt="""" width=""395"" height=""316"" />\n<ul>\n 	<li>Anti-static: each model is equipped with OSHA standar electrostatic prevention wire clip. Ensure safe use and management</li>\n</ul>\n<img class=""alignnone size-full wp-image-30353"" src=""https://kalstein.net/en/wp-content/uploads/2022/06/5-anti-static.png"" alt="""" width=""395"" height=""310"" />\n<h6>Technical Specifications</h6>\n<table width=""658"">\n<tbody>\n<tr>\n<td width=""94""><strong>Model</strong></td>\n<td width=""94""><strong>YR05464</strong></td>\n<td width=""94""><strong>YR05464-1</strong></td>\n<td width=""94""><strong>YR05464-2</strong></td>\n<td width=""94""><strong>YR05465</strong></td>\n<td width=""94""><strong>YR05465-1</strong></td>\n<td width=""94""><strong>YR05465-2</strong></td>\n</tr>\n<tr>\n<td width=""94""><strong>Dimensions</strong>\n<strong>(H x W x D)</strong></td>\n<td colspan=""3"" width=""282"">330 x 330 x 330</td>\n<td colspan=""3"" width=""282"">560 x 430 x 430</td>\n</tr>\n<tr>\n<td width=""94""><strong>Weight (Kg)</strong></td>\n<td colspan=""3"" width=""282""></td>\n<td colspan=""3"" width=""282"">21</td>\n</tr>\n<tr>\n<td width=""94""><strong>Volume</strong></td>\n<td colspan=""3"" width=""282"">02 GAL / 7 L</td>\n<td colspan=""3"" width=""282"">04 GAL / 15 L</td>\n</tr>\n<tr>\n<td width=""94""><strong>Door Type</strong></td>\n<td colspan=""3"" width=""282"">Single door / Manual</td>\n<td colspan=""3"" width=""282"">Single door / Manual</td>\n</tr>\n<tr>\n<td width=""94""><strong>Description</strong></td>\n<td width=""94"">Yellow for Flammable Liquids</td>\n<td width=""94"">Red for Combustible liquids</td>\n<td width=""94"">Blue for Corrosive liquids</td>\n<td width=""94"">Yellow for Flammable Liquids</td>\n<td width=""94"">Red for Combustible liquids</td>\n<td width=""94"">Blue for Corrosive liquids</td>\n</tr>\n<tr>\n<td width=""94""><strong>Adjustable shelf</strong></td>\n<td colspan=""6"" width=""564"">1 Layer</td>\n</tr>\n</tbody>\n</table>",Model,"YR05464, YR05464-1, YR05464-2, YR05465, YR05465-1, YR05465-2",1,1
34675,"12 - 15 Gallon Explosion-proof Cabinet YR05466 // YR05467","<ul>\n 	<li>Environmental protection spray, strong insulation</li>\n 	<li>Three-point linkage, double lock</li>\n 	<li>Strong load-bearing, adjustable laminate</li>\n 	<li>Electrostatic grounding, safety upgrade</li>\n 	<li>Three colors, each with its own strengths</li>\n</ul>\n<h6>Features</h6>\n<ul>\n 	<li>Double lock safe and reliable: Two locks, two managers. Double security, pad lock and cabinet lock, stardarized management, improve safety factor</li>\n</ul>\n<img class=""alignnone size-full wp-image-30362"" src=""https://kalstein.net/en/wp-content/uploads/2022/06/1-double-lock-safe-and-reliable-1.png"" alt="""" width=""395"" height=""313"" />\n<ul>\n 	<li>Three point linkage solid lock post: Three point linkage cabinet door lock tongue locking structure, upper, middle and lower three-point linkage solide core lock colums to increase the security of the cabinet</li>\n</ul>\n<img class=""alignnone size-full wp-image-30350"" src=""https://kalstein.net/en/wp-content/uploads/2022/06/2-three-point-linkage-solid-lock-post.png"" alt="""" width=""352"" height=""277"" />\n<ul>\n 	<li>Adjustable fire vent: The fire vents on both sides of the cabinet body are equipped with adjustable valves, which can rotate to control the air volume and reduce the risk of harmful gas accumulation in the cabinet</li>\n</ul>\n<img class=""alignnone size-full wp-image-30351"" src=""https://kalstein.net/en/wp-content/uploads/2022/06/3-adjustable-fire-vent.png"" alt="""" width=""395"" height=""307"" />\n<ul>\n 	<li>Liquid leak proof galvanized shelves: 4-110 gallons, regardless of size, the shelves are designed with leaked liquid guide groove, which is not afraid of leakage. The laminate can be adjusted up and down according to demand</li>\n</ul>\n<img class=""alignnone size-full wp-image-30352"" src=""https://kalstein.net/en/wp-content/uploads/2022/06/4-liquid-leak-proof-galvanized.png"" alt="""" width=""395"" height=""316"" />\n<ul>\n 	<li>Anti-static: each model is equipped with OSHA standar electrostatic prevention wire clip. Ensure safe use and management</li>\n</ul>\n<img class=""alignnone size-full wp-image-30353"" src=""https://kalstein.net/en/wp-content/uploads/2022/06/5-anti-static.png"" alt="""" width=""395"" height=""310"" />\n<h6>Technical Specifications</h6>\n<table width=""658"">\n<tbody>\n<tr>\n<td width=""94""><strong>Model</strong></td>\n<td width=""94""><strong>YR05466</strong></td>\n<td width=""94""><strong>YR05466-1</strong></td>\n<td width=""94""><strong>YR05466-2</strong></td>\n<td width=""94""><strong>YR05467</strong></td>\n<td width=""94""><strong>YR05467-1</strong></td>\n<td width=""94""><strong>YR05467-2</strong></td>\n</tr>\n<tr>\n<td width=""94""><strong>Dimensions</strong>\n<strong>(H x W x D)</strong></td>\n<td colspan=""3"" width=""282"">330 x 330 x 330</td>\n<td colspan=""3"" width=""282"">1120 x 590 x 460</td>\n</tr>\n<tr>\n<td width=""94""><strong>Weight (Kg)</strong></td>\n<td colspan=""3"" width=""282"">38</td>\n<td colspan=""3"" width=""282"">45</td>\n</tr>\n<tr>\n<td width=""94""><strong>Volume</strong></td>\n<td colspan=""3"" width=""282"">12 GAL / 45 L</td>\n<td colspan=""3"" width=""282"">15 GAL / 56 L</td>\n</tr>\n<tr>\n<td width=""94""><strong>Door Type</strong></td>\n<td colspan=""3"" width=""282"">Single door / Manual</td>\n<td colspan=""3"" width=""282"">Single door / Manual</td>\n</tr>\n<tr>\n<td width=""94""><strong>Description</strong></td>\n<td width=""94"">Yellow for Flammable Liquids</td>\n<td width=""94"">Red for Combustible liquids</td>\n<td width=""94"">Blue for Corrosive liquids</td>\n<td width=""94"">Yellow for Flammable Liquids</td>\n<td width=""94"">Red for Combustible liquids</td>\n<td width=""94"">Blue for Corrosive liquids</td>\n</tr>\n<tr>\n<td width=""94""><strong>Adjustable shelf</strong></td>\n<td colspan=""6"" width=""564"">1 Layer</td>\n</tr>\n</tbody>\n</table>",Model,"YR05466, YR05466-1, YR05466-2, YR05467, YR05467-1, YR05467-2",1,1
30358,"22 Gallon Explosion-proof Cabinet YR05468 // YR05468-2 - YR05468",,Model,YR05468,,1
30359,"22 Gallon Explosion-proof Cabinet YR05468 // YR05468-2 - YR05468-1",,Model,YR05468-1,,1
