ID,Type,SKU,Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (kg)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position,"Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Attribute 2 name","Attribute 2 value(s)","Attribute 2 visible","Attribute 2 global","Meta: _ywraq_hide_quote_button_check","Meta: _ywraq_hide_quote_button","Meta: _yoast_wpseo_content_score","Meta: _yoast_wpseo_estimated-reading-time-minutes","Meta: _yoast_wpseo_wordproof_timestamp","Meta: _vcv-sourceChecksum","Meta: vcvSourceCssFileUrl","Meta: _vcv-globalCssMigrated"
55477,variable,,"Tabletop High Speed Centrifuge YR019-TG",1,0,visible,"<strong>Manufacturer: </strong><em>Kalstein</em>\n\n<img class=""alignnone size-full wp-image-29188"" src=""https://kalstein.net/en/wp-content/uploads/2022/01/CE.jpg"" alt="""" width=""54"" height=""53"" />","It is widely used in the field of clinical medicine, biochemistry, genetic engineering and immunology etc. It is the essential equipment for hospitals, scientific research lab, special for Large-Capacity use.\n<h6>Features:</h6>\n<ul>\n 	<li>Microcomputer control, brushless drive, programmable operation</li>\n 	<li>Metal housing and lid.</li>\n 	<li>There is emergency lid release.</li>\n 	<li>There are 9 individual acceleration and deceleration stages.</li>\n 	<li>Intellectual interface, digital display screen.</li>\n 	<li>Stainless steel chamber, anti-causticity force.</li>\n 	<li>Equipped with over speed safety device and lid safety device.</li>\n</ul>\n<h6>Technical Specification:</h6>\n<table dir=""ltr"" border=""1"" cellspacing=""0"" cellpadding=""0""><colgroup><col width=""89"" /><col width=""189"" /></colgroup>\n<tbody>\n<tr>\n<td data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;Model&quot;}"">Model</td>\n<td data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;YR019-TG&quot;}"">YR019-TG</td>\n</tr>\n<tr>\n<td data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;Max Speed&quot;}"">Max Speed</td>\n<td data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;19,000 r/min&quot;}"">19,000 r/min</td>\n</tr>\n<tr>\n<td data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;Max RCF&quot;}"">Max RCF</td>\n<td data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;24,540g&quot;}"">24,540g</td>\n</tr>\n<tr>\n<td data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;Max Capacity&quot;}"">Max Capacity</td>\n<td data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;750mlx4&quot;}"">750mlx4</td>\n</tr>\n<tr>\n<td data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;Motor&quot;}"">Motor</td>\n<td data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;Brushless, Without carbon, DC&quot;}"">Brushless, Without carbon, DC</td>\n</tr>\n<tr>\n<td data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;Timer Range&quot;}"">Timer Range</td>\n<td data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;0-99min&quot;}"">0-99min</td>\n</tr>\n<tr>\n<td data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;Noise&quot;}"">Noise</td>\n<td data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;&lt;65dB(A)&quot;}"">&lt;65dB(A)</td>\n</tr>\n<tr>\n<td data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;Power Supply&quot;}"">Power Supply</td>\n<td data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;AC220V 50Hz 5A&quot;}"">AC220V 50Hz 5A</td>\n</tr>\n<tr>\n<td data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;Dimension&quot;}"">Dimension</td>\n<td data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;710×660×490mm (L×W×H)&quot;}"">710×660×490mm (L×W×H)</td>\n</tr>\n<tr>\n<td data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;Net Weight&quot;}"">Net Weight</td>\n<td data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;60kg&quot;}"">60kg</td>\n</tr>\n</tbody>\n</table>\n<h6>Optional Accesories:</h6>\n<table dir=""ltr"" border=""1"" cellspacing=""0"" cellpadding=""0""><colgroup><col width=""100"" /><col width=""100"" /><col width=""100"" /><col width=""100"" /></colgroup>\n<tbody>\n<tr>\n<td data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;Rotor Type&quot;}"">Rotor Type</td>\n<td data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;Max Speed (r/min)&quot;}"">Max Speed (r/min)</td>\n<td data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;Max RCF (×g)&quot;}"">Max RCF (×g)</td>\n<td data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;Max Capacity&quot;}"">Max Capacity</td>\n</tr>\n<tr>\n<td data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;Angle Rotor&quot;}"">Angle Rotor</td>\n<td data-sheets-value=""{&quot;1&quot;:3,&quot;3&quot;:19000}"">19000</td>\n<td data-sheets-value=""{&quot;1&quot;:3,&quot;3&quot;:24540}"">24540</td>\n<td data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;1.5/2.2mlx12&quot;}"">1.5/2.2mlx12</td>\n</tr>\n<tr>\n<td data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;Angle Rotor&quot;}"">Angle Rotor</td>\n<td data-sheets-value=""{&quot;1&quot;:3,&quot;3&quot;:16500}"">16500</td>\n<td data-sheets-value=""{&quot;1&quot;:3,&quot;3&quot;:19175}"">19175</td>\n<td data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;5mlx12&quot;}"">5mlx12</td>\n</tr>\n<tr>\n<td data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;Angle Rotor&quot;}"">Angle Rotor</td>\n<td data-sheets-value=""{&quot;1&quot;:3,&quot;3&quot;:15000}"">15000</td>\n<td data-sheets-value=""{&quot;1&quot;:3,&quot;3&quot;:23120}"">23120</td>\n<td data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;10mlx12&quot;}"">10mlx12</td>\n</tr>\n<tr>\n<td data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;Angle Rotor&quot;}"">Angle Rotor</td>\n<td data-sheets-value=""{&quot;1&quot;:3,&quot;3&quot;:15000}"">15000</td>\n<td data-sheets-value=""{&quot;1&quot;:3,&quot;3&quot;:23120}"">23120</td>\n<td data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;30mlx6&quot;}"">30mlx6</td>\n</tr>\n<tr>\n<td data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;Angle Rotor&quot;}"">Angle Rotor</td>\n<td data-sheets-value=""{&quot;1&quot;:3,&quot;3&quot;:13000}"">13000</td>\n<td data-sheets-value=""{&quot;1&quot;:3,&quot;3&quot;:17940}"">17940</td>\n<td data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;50mlx6&quot;}"">50mlx6</td>\n</tr>\n<tr>\n<td data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;Angle Rotor&quot;}"">Angle Rotor</td>\n<td data-sheets-value=""{&quot;1&quot;:3,&quot;3&quot;:16500}"">16500</td>\n<td data-sheets-value=""{&quot;1&quot;:3,&quot;3&quot;:26050}"">26050</td>\n<td data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;1.5/2.2mlx24&quot;}"">1.5/2.2mlx24</td>\n</tr>\n<tr>\n<td data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;Angle Rotor&quot;}"">Angle Rotor</td>\n<td data-sheets-value=""{&quot;1&quot;:3,&quot;3&quot;:12000}"">12000</td>\n<td data-sheets-value=""{&quot;1&quot;:3,&quot;3&quot;:15805}"">15805</td>\n<td data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;85mlx6&quot;}"">85mlx6</td>\n</tr>\n<tr>\n<td data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;Swing Rotor&quot;}"">Swing Rotor</td>\n<td data-sheets-value=""{&quot;1&quot;:3,&quot;3&quot;:10000}"">10000</td>\n<td data-sheets-value=""{&quot;1&quot;:3,&quot;3&quot;:11960}"">11960</td>\n<td data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;100mlx6&quot;}"">100mlx6</td>\n</tr>\n</tbody>\n</table>",,,taxable,,1,,,0,0,130,66,72,63,0,,,,"Laboratory sector > Centrifuges > Centrifuge",,,"https://kalstein.net/en/wp-content/uploads/2023/01/YR019-TG.jpg, https://kalstein.net/en/wp-content/uploads/2023/01/YR019-TG-rotor1.jpg, https://kalstein.net/en/wp-content/uploads/2023/01/YR019-TG-rotor2.jpg, https://kalstein.net/en/wp-content/uploads/2023/01/YR019-TG-rotor3.jpg, https://kalstein.net/en/wp-content/uploads/2023/01/YR019-TG-rotor4.jpg, https://kalstein.net/en/wp-content/uploads/2023/01/YR019-TG-rotor5.jpg, https://kalstein.net/en/wp-content/uploads/2023/01/YR019-TG-rotor6.jpg, https://kalstein.net/en/wp-content/uploads/2023/01/YR019-TG-rotor7.jpg, https://kalstein.net/en/wp-content/uploads/2023/01/YR019-TG-rotor8.jpg",,,,,,,,,0,Modelo,YR019-TG,1,1,Rotor,"Angle Rotor Max Speed: 12000 Max RCF: 15805 Max Capacity: 85mlx6, Angle Rotor Max Speed: 13000 Max RCF: 17940 Max Capacity: 50mlx6, Angle Rotor Max Speed: 15000 Max RCF: 23120 Max Capacity: 10mlx12, Angle Rotor Max Speed: 15000 Max RCF: 23120 Max Capacity: 30mlx6, Angle Rotor Max Speed: 16500 Max RCF: 19175 Max Capacity: 5mlx12, Angle Rotor Max Speed: 16500 Max RCF: 26050 Max Capacity: 1.5/2.2mlx24, Angle Rotor Max Speed: 19000 Max RCF: 24540 Max Capacity: 1.5/2.2mlx12, No Rotor, Swing Rotor Max Speed: 10000 Max RCF: 11960 Max Capacity: 100mlx6",1,1,,0,90,,,da66c372c35837f11293e4a7c50a6784,/assets-bundles/da66c372c35837f11293e4a7c50a6784.source.css,1
55766,variation,,"Laboratory Fume Hood,acid and alkali resistance Fume Cupboard Hospital Laboratory equipment YR05817 // YR05819 - YR05817",1,0,visible,,,,,taxable,parent,1,,,0,0,235,,,,0,,,"1318,68",,,,,,,id:55751,,,,,,1,Model,YR05817,,1,,,,,,,,,,,,
55767,variation,,"Laboratory Fume Hood,acid and alkali resistance Fume Cupboard Hospital Laboratory equipment YR05817 // YR05819 - YR05818",1,0,visible,,,,,taxable,parent,1,,,0,0,265,,,,0,,,"1445,4",,,,,,,id:55751,,,,,,2,Model,YR05818,,1,,,,,,,,,,,,
55768,variation,,"Laboratory Fume Hood,acid and alkali resistance Fume Cupboard Hospital Laboratory equipment YR05817 // YR05819 - YR05819",1,0,visible,,,,,taxable,parent,1,,,0,0,300,,,,0,,,"1568,16",,,,,,,id:55751,,,,,,3,Model,YR05819,,1,,,,,,,,,,,,
55769,variation,,"Laboratory Fume Hood,acid and alkali resistance Fume Cupboard Hospital Laboratory equipment YR05820 // YR05822 - YR05820",1,0,visible,,,,,taxable,parent,1,,,0,0,160,,,,0,,,2376,,,,,,,id:55752,,,,,,1,Model,YR05820,,1,,,,,,,,,,,,
55770,variation,,"Laboratory Fume Hood,acid and alkali resistance Fume Cupboard Hospital Laboratory equipment YR05820 // YR05822 - YR05821",1,0,visible,,,,,taxable,parent,1,,,0,0,180,,,,0,,,"2534,4",,,,,,,id:55752,,,,,,2,Model,YR05821,,1,,,,,,,,,,,,
55771,variation,,"Laboratory Fume Hood,acid and alkali resistance Fume Cupboard Hospital Laboratory equipment YR05820 // YR05822 - YR05822",1,0,visible,,,,,taxable,parent,1,,,0,0,198,,,,0,,,"2708,64",,,,,,,id:55752,,,,,,3,Model,YR05822,,1,,,,,,,,,,,,
55484,variation,,"Tabletop High Speed Centrifuge YR019-TG - YR019-TG, Angle Rotor Max Speed: 19000 Max RCF: 24540 Max Capacity: 1.5/2.2mlx12",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,"3641,22",,,,,,,id:55477,,,,,,2,Modelo,YR019-TG,,1,Rotor,"Angle Rotor Max Speed: 19000 Max RCF: 24540 Max Capacity: 1.5/2.2mlx12",,1,,,,,,,,
55485,variation,,"Tabletop High Speed Centrifuge YR019-TG - YR019-TG, No Rotor",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,"3429,36",,,,,,,id:55477,,,,,,1,Modelo,YR019-TG,,1,Rotor,"No Rotor",,1,,,,,,,,
55486,variation,,"Tabletop High Speed Centrifuge YR019-TG - YR019-TG, Swing Rotor Max Speed: 10000 Max RCF: 11960 Max Capacity: 100mlx6",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,"4385,70",,,,,,,id:55477,,,,,,9,Modelo,YR019-TG,,1,Rotor,"Swing Rotor Max Speed: 10000 Max RCF: 11960 Max Capacity: 100mlx6",,1,,,,,,,,
